Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 1346;43d3759e;0,6425;5,1629;6,1322;0,5932;0,6364;0,5914;0,7249;1,1547;0,9613
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 14;47e6f782;0,5928;5,4267;6,5447;0,6102;0,6462;0,6086;0,6785;1,1828;0,9559
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 1235;e2fead93;0,1445;8,7788;9,4864;0,7627;0,7667;0,7626;0,3449;1,4549;0,9554
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 156;11bea383;0,664;5,1272;5,9448;0,5932;0,5862;0,5937;0,7431;1,1258;0,9536
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 13456;66a45eb0;0,5895;5,5927;6,571;0,6102;0,6349;0,6092;0,6702;1,1764;0,9486
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 13;def53fba;0,4858;6,4098;7,3542;0,6441;0,6557;0,6437;0,5779;1,2334;0,9384
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 135;aefbe46a;0,3278;7,4089;8,409;0,6949;0,7;0,6948;0,4639;1,3264;0,9383
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 3;13b96953;0,4221;6,6956;7,7967;0,661;0,6774;0,6603;0,5327;1,2683;0,9373
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 1346;4a2e52ab;0,5891;5,6805;6,5745;0,5932;0,625;0,592;0,6669;1,1482;0,9316
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 1236;1a5c85cc;-0,1238;9,8789;10,8725;0,7966;0,8182;0,7948;0,2002;1,529;0,931
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 346;028a4beb;0,5636;5,4889;6,7755;0,5932;0,625;0,592;0,6563;1,1482;0,9268
